date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:16	35/35	---MC-	200	added ('OK')	text/plain	date:Tue,%2030%20Apr%202019%2015:48:16%20GMT	https://shenandoahliterary.org/robots.txt		(from )
11:48:16	16480/16480	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2015:48:16%20GMT	https://shenandoahliterary.org/	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/index.html	(from )
11:48:17	6488/6488	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Apr%202019%2015:48:17%20GMT	https://use.typekit.net/nci7nxi.css	C:/Users/changj19/Downloads/websites/Shenandoah/use.typekit.net/nci7nxi.css	(from https://shenandoahliterary.org/)
11:48:17	25242/25242	---M--	200	added ('OK')	text/css	date:Fri,%2004%20Jan%202019%2019:38:57%20GMT	https://shenandoahliterary.org/wp-includes/css/dist/block-library/style.min.css?ver=5.1.1	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-includes/css/dist/block-library/style.min3c21.css	(from https://shenandoahliterary.org/)
11:48:17	884/884	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Apr%202018%2016:29:41%20GMT	https://shenandoahliterary.org/wp-content/plugins/quotes-collection/css/quotes-collection.css?ver=2.0.10	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-content/plugins/quotes-collection/css/quotes-collection6471.css	(from https://shenandoahliterary.org/)
11:48:17	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%221544639651%22	https://stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css?ver=5.1.1	C:/Users/changj19/Downloads/websites/Shenandoah/stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min3c21.css	(from https://shenandoahliterary.org/)
11:48:17	26288/26288	---M--	200	added ('OK')	text/css	date:Thu,%2018%20Apr%202019%2020:59:16%20GMT	https://shenandoahliterary.org/wp-content/themes/ShenAleph-landing-page/style.css?ver=5.1.1	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-content/themes/ShenAleph-landing-page/style3c21.css	(from https://shenandoahliterary.org/)
11:48:18	79810/79810	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Nov%202018%2021:54:12%20GMT	https://shenandoahliterary.org/wp-content/themes/ShenAleph-landing-page/thein/Theinhardt-Medium.css?ver=5.1.1	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-content/themes/ShenAleph-landing-page/thein/Theinhardt-Medium3c21.css	(from https://shenandoahliterary.org/)
11:48:18	50917/50917	---MC-	200	added ('OK')	application/rss+xml	etag:%229ecd38ab66413398446ff7e068babd4a%22	https://shenandoahliterary.org/feed/	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/feed/index.html	(from https://shenandoahliterary.org/)
11:48:18	80486/80486	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Nov%202018%2016:04:44%20GMT	https://shenandoahliterary.org/wp-content/themes/ShenAleph-landing-page/thein/Theinhardt-Light.css?ver=5.1.1	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-content/themes/ShenAleph-landing-page/thein/Theinhardt-Light3c21.css	(from https://shenandoahliterary.org/)
11:48:19	1929/1929	---M--	200	added ('OK')	text/css	date:Sat,%2021%20Mar%202015%2022:27:33%20GMT	https://shenandoahliterary.org/wp-content/plugins/cleaner-gallery/css/gallery.min.css?ver=20130526	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-content/plugins/cleaner-gallery/css/gallery.min7d9c.css	(from https://shenandoahliterary.org/)
11:48:19	51215/51215	---MCZ	200	added ('OK')	text/css	etag:W/%221cc6c92172d124fbd305ba3d8e263333%22	http://use.fontawesome.com/releases/v5.5.0/css/all.css?ver=5.1.1	C:/Users/changj19/Downloads/websites/Shenandoah/use.fontawesome.com/releases/v5.5.0/css/all3c21.css	(from https://shenandoahliterary.org/)
11:48:19	97183/97183	---M--	200	added ('OK')	application/javascript	date:Wed,%2023%20May%202018%2010:05:31%20GMT	https://shenandoahliterary.org/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-includes/js/jquery/jqueryb8ff.js	(from https://shenandoahliterary.org/)
11:48:19	9318/9318	---MC-	200	added ('OK')	application/rss+xml	etag:%221b1efa914766f3fed40a3057f13e45c4%22	https://shenandoahliterary.org/comments/feed/	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/comments/feed/index.html	(from https://shenandoahliterary.org/)
11:48:19	10056/10056	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2006:11:28%20GMT	https://shenandoahliterary.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://shenandoahliterary.org/)
11:48:19	733/733	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Jan%202016%2022:13:42%20GMT	https://shenandoahliterary.org/wp-content/plugins/fd-footnotes/fdfootnotes.js?ver=1.34	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-content/plugins/fd-footnotes/fdfootnotes2951.js	(from https://shenandoahliterary.org/)
11:48:19	3300/3300	---M--	200	added ('OK')	application/javascript	date:Mon,%2009%20Apr%202018%2016:29:41%20GMT	https://shenandoahliterary.org/wp-content/plugins/quotes-collection/js/quotes-collection.js?ver=2.0.10	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-content/plugins/quotes-collection/js/quotes-collection6471.js	(from https://shenandoahliterary.org/)
11:48:20	70682/70682	---M-Z	200	added ('OK')	text/javascript	etag:%221544639633%22	https://stackpath.bootstrapcdn.com/bootstrap/4.1.1/js/bootstrap.bundle.min.js?ver=5.1.1	C:/Users/changj19/Downloads/websites/Shenandoah/stackpath.bootstrapcdn.com/bootstrap/4.1.1/js/bootstrap.bundle.min3c21.js	(from https://shenandoahliterary.org/)
11:48:21	846/846	---MC-	200	added ('OK')	text/xml	date:Tue,%2030%20Apr%202019%2015:48:20%20GMT	https://shenandoahliterary.org/xmlrpc.php?rsd	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/xmlrpc0db0.php	(from https://shenandoahliterary.org/)
11:48:21	1045/1045	---M--	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	https://shenandoahliterary.org/wp-includes/wlwmanifest.xml	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-includes/wlwmanifest.xml	(from https://shenandoahliterary.org/)
11:48:21	113/113	---MC-	401	error ('Unauthorized')	application/json	date:Tue,%2030%20Apr%202019%2015:48:20%20GMT	https://shenandoahliterary.org/wp-json/	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-json/index.html	(from https://shenandoahliterary.org/)
